,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag14,lag15,lag16,lag17,lag18,lag19,lag20,lag21,lag22,lag23,lag24,lag25,lag26,lag27,lag28,lag29,lag30,lag31,lag32,lag33,lag34,lag35,lag36,lag37,lag38,lag39,lag40
57.3,0.02905816,0.042161478,0.060832346,0.086795125,0.121778641,0.167352861,0.225256528,0.297140265,0.384364395,0.487842882,0.60789647,0.744131601,0.895360649,1.059575818,1.233983927,1.415102991,1.598914814,1.781061788,1.95707144,2.122589717,2.2736037,2.406636305,2.518899248,2.608395343,2.673966568,2.715289363,2.73282299,2.727719928,2.701709133,2.656963549,2.595962675,2.521359566,2.435859684,2.342116777,2.242648797,2.139774884,2.035572852,1.931855379,1.830162367,1.731766477,1.637688825
57.4,0.02838518,0.041284426,0.059708507,0.085388007,0.120067532,0.1653417,0.222978651,0.294664322,0.381798768,0.485337109,0.605638948,0.742343188,0.894284296,1.059462866,1.235078166,1.417623915,1.603041674,1.786919965,1.964722454,2.132025757,2.28474707,2.419343681,2.532970152,2.623583904,2.689995389,2.731864269,2.74964747,2.744508277,2.718197534,2.672918622,2.6111873,2.53569603,2.44919039,2.354362897,2.253767322,2.149754551,2.044429389,1.939626481,1.836902721,1.737543099,1.642576866
57.5,0.027737597,0.040438171,0.058621132,0.084022755,0.118402718,0.163379516,0.220749973,0.292234694,0.379272968,0.482860796,0.60339663,0.740552126,0.893184429,1.059303363,1.236101675,1.420049931,1.607050597,1.792639412,1.97221712,2.141291742,2.295711091,2.431867087,2.546857166,2.638593174,2.705853693,2.748281129,2.766329515,2.761172337,2.734581711,2.688790862,2.626351251,2.549994244,2.46250509,2.366614705,2.264912376,2.159780494,2.053350685,1.947479445,1.843740602,1.743431458,1.647589429
57.6,0.027114415,0.039621604,0.057569023,0.082698126,0.116782961,0.161465135,0.218569433,0.289850466,0.376786236,0.480413314,0.601168962,0.738757851,0.892060363,1.059096378,1.237053155,1.422379258,1.610939246,1.798217202,1.979551933,2.150383653,2.306491349,2.44420187,2.560555584,2.653418601,2.721537284,2.764536301,2.782866206,2.777710051,2.750860574,2.704580202,2.641455504,2.564256205,2.475806755,2.378876066,2.276088617,2.169858059,2.062342656,1.955420644,1.850682727,1.749438514,1.652733627
57.7,0.026514686,0.038833662,0.056551031,0.081412921,0.115207066,0.159597422,0.216435999,0.287510746,0.374337827,0.477994046,0.598955402,0.736959807,0.890911419,1.058840988,1.237931314,1.424610129,1.614705301,1.803650423,1.986723405,2.159297493,2.317083448,2.456343395,2.57406072,2.668055652,2.737041993,2.780626172,2.799254663,2.794119411,2.767033084,2.720286637,2.656501103,2.578483988,2.489098437,2.391150932,2.2873008,2.179992689,2.07141132,1.963456553,1.857735917,1.755571335,1.658016678
57.8,0.025937502,0.038073329,0.055566051,0.080165986,0.113673877,0.157775271,0.214348668,0.285214662,0.371927012,0.475602386,0.596755412,0.735157445,0.889736927,1.058536277,1.238734869,1.426740788,1.618346454,1.808936179,1.993728062,2.168029278,2.327483012,2.468287047,2.58736791,2.68249982,2.752363678,2.796547165,2.815492043,2.810398451,2.783098257,2.73591022,2.671489159,2.592679742,2.502383271,2.403443341,2.29855377,2.190189926,2.080562795,1.97159375,1.864907101,1.761837093,1.663445912
57.9,0.025381997,0.037339631,0.054613021,0.078956207,0.112182279,0.155997613,0.212306463,0.282961364,0.369553079,0.473237737,0.594568464,0.73335022,0.888536221,1.058181337,1.239462549,1.428769491,1.621860412,1.814071592,2.000562456,2.17657505,2.337685685,2.480028235,2.600472516,2.696746626,2.767498227,2.812295735,2.831575543,2.826545253,2.79905516,2.751451066,2.686420852,2.606845694,2.515664472,2.415757423,2.309852467,2.200455409,2.089803305,1.979838925,1.872203319,1.768243079,1.669028777
58,0.024847348,0.036631636,0.053690923,0.077782513,0.11073119,0.154263412,0.210308436,0.280750023,0.367215328,0.470899515,0.592394034,0.731537593,0.88730864,1.057775269,1.240113093,1.430694511,1.625244901,1.819053805,2.007223156,2.18493087,2.347687139,2.491562394,2.613369924,2.710791618,2.782441561,2.827868372,2.847502403,2.842557944,2.814902914,2.766909349,2.70129743,2.620984142,2.528945342,2.428097396,2.321201929,2.210794881,2.099139178,1.988198875,1.879631726,1.774796701,1.674772843
58.1,0.024332764,0.035948451,0.052798777,0.076643871,0.109319566,0.152571659,0.208353661,0.278579828,0.364913073,0.468587142,0.590231609,0.729719033,0.886053533,1.057317181,1.240685252,1.432514135,1.628497667,1.823879983,2.013706758,2.19309283,2.35748307,2.502884986,2.626055553,2.724630375,2.797189633,2.843261605,2.863269901,2.858434701,2.830640694,2.782285305,2.716120207,2.635097462,2.542229261,2.440467568,2.332607287,2.221214186,2.108576852,1.996680512,1.887199597,1.781505492,1.680685809
58.2,0.023837495,0.035289223,0.051935644,0.075539284,0.107946399,0.150921379,0.206441239,0.276449989,0.362645645,0.466300052,0.588080679,0.727894013,0.884770254,1.056806192,1.241177791,1.434226667,1.631616475,1.828547314,2.020009884,2.201057047,2.367069208,2.513991505,2.638524852,2.738258511,2.811738433,2.858472,2.87887536,2.874173744,2.846267726,2.797579228,2.730890567,2.649188104,2.555519693,2.452872335,2.344073772,2.231719273,2.118122876,2.005290868,1.89491433,1.788377115,1.68677551
58.3,0.023360823,0.034653132,0.051100619,0.074467792,0.106610712,0.149311626,0.204570296,0.274359734,0.360412386,0.464037689,0.585940743,0.726062011,0.883458163,1.05624143,1.241589486,1.435830428,1.634599112,1.833053012,2.026129185,2.208819671,2.37644131,2.524877479,2.650773305,2.751671674,2.826083985,2.873496164,2.894316144,2.889773344,2.861783292,2.812791474,2.745609956,2.663258593,2.568820186,2.465316187,2.355606713,2.242316199,2.127783915,2.014037095,1.902783455,1.795419369,1.693049925
58.4,0.022902063,0.034039396,0.050292837,0.073428472,0.105311563,0.14774148,0.202739979,0.27230831,0.358212652,0.461799504,0.583811306,0.724222515,0.882116629,1.055622032,1.241919129,1.437323759,1.637443389,1.83739432,2.032061343,2.216376885,2.385595174,2.535538471,2.662796431,2.76486555,2.840222356,2.888330742,2.909589661,2.905231818,2.877186725,2.827922455,2.760279893,2.677311527,2.58213437,2.477803702,2.367211539,2.253011129,2.137566749,2.022926473,1.910814633,1.802640197,1.699517184
