"","lag0","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8","lag9","lag10","lag11","lag12","lag13","lag14","lag15","lag16","lag17","lag18","lag19","lag20","lag21","lag22","lag23","lag24","lag25","lag26","lag27","lag28","lag29","lag30","lag31","lag32","lag33","lag34","lag35","lag36","lag37","lag38","lag39","lag40"
"43.3",0.726713419532196,0.740343900954258,0.754039993737754,0.767602480907595,0.780818532788714,0.793519703150768,0.805673344118436,0.817270010846252,0.828302606033811,0.838766348925582,0.848658731997365,0.857979466314675,0.866730416601852,0.874915527099842,0.882540739315671,0.889613902778639,0.896144679917755,0.902144446163103,0.907626186351588,0.912604388485964,0.91709493585645,0.921114998487589,0.924682924820615,0.927818134484538,0.930541012948514,0.932872808785038,0.934835534208917,0.936451869491932,0.937745071788426,0.938738888843462,0.93945747799357,0.939925330810911,0.940167203685603,0.940208054588365,0.940072986207069,0.939787195606404,0.939375930520052,0.938864452349744,0.938278005915329,0.937641795974841,0.936980970513355
"43.4",0.754094464782336,0.767021067402371,0.779978383227034,0.792766534740083,0.805173253936641,0.8170319264783,0.828312461994681,0.83900802730855,0.849114116915547,0.858628506927379,0.867551197733849,0.875884346420131,0.88363219001353,0.890800960658041,0.897398793826145,0.903435630676138,0.908923115650917,0.913874490391526,0.918304485006947,0.922229207701809,0.925666033716854,0.928633494484523,0.931151167844762,0.933239570105408,0.934920050668197,0.936214689876622,0.937146200676432,0.937737834614364,0.938013292636594,0.937996641085928,0.937712233236741,0.937184636649511,0.93643856657301,0.935498825572189,0.934390249513866,0.933137660000672,0.931765823306661,0.930299415835483,0.928762996094344,0.927180983154012,0.925577641546974
"43.5",0.78067307494516,0.792866979332582,0.805060194931977,0.817052875809426,0.828633971911588,0.839639155986465,0.850040934611219,0.859835043731904,0.869019504841867,0.877594565686101,0.885562630788838,0.892928182869051,0.899697696231858,0.905879543234479,0.911483894924008,0.916522616931855,0.921009161687208,0.924958457980316,0.928386798866925,0.931311728858822,0.933751931293388,0.935727116718301,0.937257913067198,0.938365758339204,0.939072796430728,0.939401776702692,0.939375957801313,0.93901901618636,0.938354959758246,0.937408046914921,0.936202711311911,0.934763492544364,0.933114972919138,0.931281720437918,0.929288238069552,0.927158919351193,0.924918010323764,0.922589577777649,0.920197483759462,0.917765366270229,0.915316626069286
"43.6",0.806351214823968,0.817790860700225,0.829201904806578,0.840385188852223,0.851131492467329,0.861279182177809,0.87080335780055,0.879702242185796,0.887976282167974,0.89562807793251,0.90266230334647,0.909085618325174,0.914906574317359,0.920135513990242,0.924784466183809,0.928867037181704,0.932398299315316,0.935394677879051,0.93787383728936,0.939854567369048,0.941356670582646,0.942400850989295,0.94300860561763,0.943202118903516,0.94300416076703,0.94243798884064,0.941527255296894,0.940295918661639,0.938768160938652,0.936968310313856,0.934920769652706,0.932649950953049,0.930180215868212,0.92753582237143,0.924740877593219,0.921819296828011,0.918794768675382,0.915690726254572,0.912530324408663,0.90933642279673,0.906131574758433
"43.7",0.831039380579443,0.84171039787095,0.852328331773305,0.862695329758389,0.872604567803938,0.881897466297862,0.890551676716594,0.898567792806718,0.905948554228608,0.912698766513036,0.918825213126467,0.924336560706407,0.929243258527356,0.933557433246616,0.937292779958266,0.940464450553994,0.943088940352176,0.945183973912648,0.946768390905034,0.947862032844276,0.948485631449193,0.948660699319378,0.948409423563467,0.947754562948629,0.946719349077834,0.945327392038722,0.943602590906521,0.941569049423836,0.939250997122971,0.936672716101999,0.933858473614627,0.930832460586151,0.927618736123797,0.924241178049645,0.920723439448304,0.917088911189491,0.913360690357906,0.909561554499028,0.905713941569888,0.901839935468187,0.897961257001419
"43.8",0.854657288313076,0.864552326612789,0.874373129377581,0.883923728709558,0.893000218556555,0.901447388946855,0.909245368958759,0.91639697930834,0.92290709499555,0.928782557753722,0.934032081729557,0.938666153428598,0.942696926950902,0.946138115521986,0.949004880296081,0.951313717373102,0.953082343928682,0.954329584308944,0.95507525688945,0.955340062441869,0.955145474693333,0.954513633702984,0.953467242618738,0.952029468315575,0.950223846355383,0.948074190648176,0.945604508135999,0.942838918764445,0.939801580952963,0.936516622724316,0.93300807860604,0.929299832372741,0.925415565657718,0.921378712425942,0.917212419267783,0.912939511444252,0.908582464589729,0.904163381957349,0.899703977075122,0.895225561667553,0.89074903868777
"43.9",0.877134420656369,0.886252885912852,0.895279153443085,0.904019678778808,0.912273950896491,0.919890403527463,0.926851542189069,0.933162248445235,0.938829355837211,0.943861556662384,0.948269303059718,0.952064703397647,0.955261414942223,0.957874533757063,0.959920482753144,0.961416898766581,0.962382519497157,0.962837071090511,0.962801157093339,0.962296149454684,0.961344082188183,0.959967548250767,0.958189600133599,0.956033654601525,0.953523401958782,0.950682720161595,0.947535594043131,0.944106039863509,0.940418035347537,0.936495455325853,0.932362013051428,0.928041207223175,0.923556274711763,0.918930148949799,0.914185423919307,0.909344323643978,0.904428677071825,0.899459898215753,0.894458971404884,0.889446441488299,0.884442408824937
"44",0.898410429977522,0.906758138548203,0.914998706761011,0.922941511917925,0.930389871360453,0.937196097642444,0.943344949681809,0.948843187043276,0.953699411036003,0.957923967556972,0.961528845253651,0.964527569952486,0.966935096275666,0.968767697337354,0.970042853373219,0.970779140114317,0.970996117669192,0.970714220627199,0.969954650042461,0.968739267902227,0.967090494626548,0.965031210088764,0.962584658589025,0.959774358156479,0.956624014500428,0.95315743987717,0.949398477087772,0.945370928773086,0.941098492126175,0.93660469909921,0.931912862142054,0.927046025473255,0.922026921851146,0.916877934783263,0.91162106608629,0.906277908686286,0.900869624529884,0.895416927461492,0.889940070909128,0.884458840212212,0.878992549418396
"44.1",0.918435399658932,0.926024160837919,0.933493664019099,0.940656666127487,0.947320703611794,0.953342166887455,0.958707928345053,0.963426431103738,0.967507844432441,0.970963964265378,0.973808109972678,0.97605501827588,0.977720735169414,0.978822506674432,0.979378669211497,0.979408540334375,0.978932310519281,0.977970936653314,0.976546037813045,0.974679793870187,0.972394847406522,0.969714209365445,0.966661168813253,0.963259207130022,0.959531916898226,0.955502925707404,0.95119582504563,0.946634104403528,0.941841090674373,0.936839892894622,0.931653352333095,0.926303997904258,0.92081400685143,0.915205170619569,0.909498865814312,0.90371603012429,0.897877143067223,0.89200221140692,0.886110759077877,0.880221821446625,0.874353943734142
"44.2",0.937169967511902,0.944017106274931,0.950735482130052,0.957141649265759,0.963047712731191,0.968314306637042,0.972930264691967,0.976905512238725,0.980251582153026,0.98298151449179,0.985109753246507,0.98665204102947,0.987625312488902,0.988047587212079,0.987937862834477,0.987316009028283,0.986202662996144,0.984619127046447,0.982587268775422,0.980129424329548,0.977268305169689,0.974026908706745,0.970428433127706,0.966496196681425,0.962253561645523,0.957723863149919,0.952930342988901,0.947896088512583,0.942643976650313,0.937196623083129,0.931576336549991,0.925805078243108,0.919904426221449,0.91389554474831,0.907799158438736,0.901635531085451,0.895424449017782,0.889185208836694,0.882936609360408,0.876696947609029,0.870484018653017
"44.3",0.954585317731166,0.960713149743755,0.966705102824367,0.97238190638289,0.977560543817143,0.982106028384922,0.986008995010109,0.989280647299172,0.991933676840589,0.993982163287325,0.99544147230319,0.996328152135896,0.996659829545858,0.996455105782015,0.995733453254567,0.994515113510471,0.992820997071268,0.990672585645094,0.988091837176051,0.985101094145076,0.981722995487623,0.977980392445178,0.973896268620489,0.969493664460611,0.964795606347871,0.959825040436954,0.954604771336613,0.949157405697373,0.943505300732051,0.937670517664146,0.93167478007019,0.925539437056067,0.919285431184097,0.912933271047337,0.906503008369992,0.900014219498069,0.893485991132278,0.886936910145607,0.880385057320936,0.87384800483927,0.867342817346627
"44.4",0.970663049815304,0.976098320746467,0.981392755809788,0.986371598653237,0.990856982640395,0.994718407968362,0.997948146577119,1.00055847751335,1.00256304914232,1.00397678080061,1.00481576297832,1.00509715672746,1.00483909295854,1.00406057224942,1.00278136575013,1.00102191772448,0.998803250224703,0.996146870350589,0.993074680498074,0.989608891956935,0.985771942171498,0.981586415933814,0.977074970735373,0.972260266461531,0.967164899572809,0.961811341879148,0.956221883977444,0.95041858338925,0.9444232174046,0.938257240609605,0.931941747049749,0.925497436957779,0.918944587954677,0.912303030614444,0.905592128268217,0.898830760910504,0.892037313060086,0.885229665420098,0.878425190176074,0.871640749767055,0.864892698963145
"44.5",0.985394934565949,0.990168235467341,0.994797671957462,0.999113302914552,1.00294264683802,1.00615977358059,1.00875842720308,1.01075176376693,1.01215419242652,1.01298127962171,1.01324965237324,1.01297690131177,1.01218148403674,1.01088262936429,1.00910024298415,1.0068548150047,1.0041673298233,1.00105917871676,0.997552075503783,0.993667975589023,0.989428998656525,0.984857355239443,0.979975277353474,0.974804953343409,0.969368467056016,0.963687741418234,0.957784486467552,0.951680151851582,0.945395883786346,0.938952486437656,0.932370387667293,0.925669609065448,0.918869740173041,0.911989916782114,0.905048803189356,0.898064578266939,0.891054925206198,0.884037024783013,0.87702755198916,0.870042675871088,0.863098062416591
"44.6",0.998782568617068,1.00292773860013,1.00692771685136,1.0106176415094,1.01383061665604,1.01644534186003,1.01845687064975,1.01987904483183,1.02072684680052,1.02101630707654,1.02076441143309,1.01998900817527,1.01870871610587,1.01694283367456,1.01471124977043,1.01203435657931,1.00893296488823,1.00542822217973,1.00154153381984,0.997294487604024,0.992708781887867,0.987806157491837,0.982608333533844,0.977136947309094,0.971413498304248,0.965459296402287,0.959295414305869,0.952942644180476,0.946421458494293,0.939751975009624,0.932953925860731,0.926046630635289,0.919048973361109,0.911979383286463,0.904855819331017,0.897695758075185,0.890516185148353,0.883333589871016,0.87616396300214,0.869022797441025,0.861925091732478
"44.7",1.01083693993461,1.0143904666435,1.01779895563785,1.02090285256862,1.02354101456255,1.02559681054978,1.0270664455937,1.02796426539891,1.02830564849782,1.02810691778638,1.02738525204677,1.02615859796181,1.02444558309355,1.02226543026498,1.01963787374859,1.01658307763001,1.01312155667869,1.00927410002144,1.00506169787882,1.00050547158885,0.995626607108261,0.990446292148048,0.984985657067873,0.979265719623549,0.973307333632645,0.967131141596193,0.960757531289099,0.954206596308481,0.947498100547734,0.940651446544688,0.933685647634866,0.926619303825375,0.919470581291588,0.912257195387218,0.90499639704875,0.897704962467357,0.890399185895282,0.883094875449236,0.875807351770374,0.868551449399019,0.861341520722175
