"","lag0","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8","lag9","lag10","lag11","lag12","lag13","lag14","lag15","lag16","lag17","lag18","lag19","lag20","lag21","lag22","lag23","lag24","lag25","lag26","lag27","lag28","lag29","lag30","lag31","lag32","lag33","lag34","lag35","lag36","lag37","lag38","lag39","lag40"
"43.3",0.583867431684528,0.610790968049869,0.638495010149328,0.666492858220477,0.694214026524624,0.721154078526909,0.747134897720103,0.772039477372144,0.795761219955686,0.81820486871018,0.839287245622285,0.858937792284674,0.877098914449044,0.893726135127557,0.908788064729997,0.922266199884245,0.934154565228702,0.944459214560995,0.953197609270912,0.96039789298771,0.966098081858477,0.970345189883716,0.973194308317031,0.974707657343385,0.974953627144943,0.974005824107107,0.971942136372029,0.968843831272497,0.964794695431759,0.959880226546007,0.954186884121231,0.947801404754176,0.940810185960679,0.933298741089555,0.925351226535876,0.917050041297475,0.908475497910592,0.89970556295804,0.890815664665003,0.881878564579105,0.872964289965763
"43.4",0.616557607932978,0.642522725132599,0.669130977132846,0.695904110978346,0.722289564518581,0.747806077049799,0.772292592860624,0.795647993425511,0.81778151695061,0.838613441903827,0.858075597279476,0.876111699781359,0.892677521551585,0.907740895193571,0.921281565579355,0.933290900252615,0.943771472115115,0.952736529506453,0.960209369759854,0.966222632857831,0.97081753194867,0.974043037254457,0.975955029346598,0.976615436932642,0.976091373238319,0.974454283831143,0.97177911736577,0.968143529283371,0.963627127010807,0.958310763719584,0.952275886253527,0.945603941447161,0.938375843757692,0.930671505941,0.92256943343,0.914146382131203,0.905477078547419,0.896634000462568,0.887687215886911,0.878704277553286,0.869750169970977
"43.5",0.648894739713047,0.673784729046443,0.699191363600429,0.724647685745431,0.749621318661809,0.773655306693628,0.796605315710733,0.81838536973484,0.838919584601554,0.858142641447952,0.876000108128866,0.892448611302734,0.907455864585796,0.921000560527085,0.933072136170957,0.943670423626755,0.952805198346647,0.960495638723954,0.966769711176972,0.971663495097499,0.975220461946192,0.977490722401521,0.978530254852026,0.978400127702077,0.97716572697948,0.974895999628883,0.97166272168637,0.967539799294052,0.962602609261786,0.95692738464597,0.950590649618093,0.943668706759986,0.936237178865722,0.928370606365427,0.920142100623293,0.911623052607076,0.902882895782209,0.893988921550728,0.885006145131261,0.87599721945771,0.867022394455298
"43.6",0.680707061307573,0.704420548222735,0.728535741772957,0.752599427235461,0.776101226312494,0.798609210372064,0.819995182888766,0.840187384969472,0.85912371678694,0.876752037181107,0.893030332204227,0.907926756969568,0.921419557164177,0.933496878313865,0.944156472323595,0.953405311949283,0.961259124686988,0.967741858099767,0.972885088855753,0.976727387743366,0.979313652686142,0.980694421328763,0.980925174138271,0.980065638191876,0.978179100937297,0.975331742244221,0.97159199204602,0.967029919826794,0.961716661164935,0.955723885522898,0.949123308492345,0.941986250780153,0.934383245366255,0.926383693488497,0.918055569419001,0.909465173395102,0.900676931557124,0.891753241324846,0.882754360312243,0.873738336632522,0.864760978278007
"43.7",0.71182935715116,0.734281262671309,0.757031857888013,0.779643719136375,0.801629851383763,0.822583704888214,0.8423924377772,0.860997447662726,0.878349232232019,0.894407548421115,0.909141460586629,0.92252928292503,0.934558422854413,0.945225133303322,0.954534182836072,0.962498453282352,0.969138475035425,0.974481910448138,0.978562995804444,0.981421952194937,0.983104375300054,0.983660613607858,0.983145143989759,0.981615952852584,0.979133930304038,0.975762283935013,0.971565977958855,0.966611202575528,0.96096487756598,0.954694193285348,0.947866191426507,0.94054738717929,0.932803433724213,0.924698829379349,0.916296667169405,0.907658426109571,0.898843803093916,0.889910583948315,0.880914551948925,0.871909431916173,0.862946867867127
"43.8",0.742105070669209,0.76322721913965,0.784557054416052,0.805674602683172,0.826117235230483,0.845503803435295,0.863735883101271,0.880766874993848,0.896558632463577,0.911081510373883,0.924314321581257,0.936244206561441,0.946866422815941,0.956184061536595,0.964207699649729,0.970954995808684,0.976450239161453,0.980723859799969,0.983811909713596,0.98575552283828,0.986600362433042,0.98639606354669,0.985195677779749,0.983055126919611,0.98003267135011,0.976188398428616,0.971583735301158,0.966280989904706,0.960342923199129,0.953832354991338,0.946811805070772,0.939343170776506,0.93148744156822,0.923304450680394,0.914852663504272,0.906189001966744,0.897368703859427,0.888445215813982,0.879470118419049,0.87049308182773,0.861561850108886
"43.9",0.771388206750599,0.791129584291615,0.810999500922465,0.830596719282557,0.849483590110789,0.867304100694824,0.883973196352606,0.899455073929652,0.91372168022472,0.926752677248668,0.938535331756801,0.94906433460309,0.958341556176813,0.966375744733735,0.973182174826557,0.978782253278429,0.983203090237011,0.986477042805717,0.988641238586107,0.989737086195193,0.989809779458738,0.988907801542272,0.987082434781201,0.984387281425344,0.980877799936472,0.976610860883551,0.971644325882229,0.966036652434025,0.959846526946661,0.953132527668532,0.945952818754605,0.938364876203581,0.93042524597126,0.922189334175729,0.913711228967868,0.905043553346597,0.896237347951987,0.887341982669772,0.878405095726341,0.869472558841716,0.860588466936734
"44",0.79954499717624,0.817871674370752,0.83625921960211,0.854326069182032,0.871659831673353,0.887929120116563,0.903061129695297,0.91702962757203,0.929815401771069,0.941406165624192,0.951796401213043,0.960987147050088,0.968985735704777,0.975805487418785,0.981465365967554,0.985989603121077,0.989407298043066,0.991751997853931,0.993061265380476,0.993376239835373,0.992741195824683,0.991203105684118,0.98881120970669,0.985616598357418,0.981671810086131,0.977030447857309,0.971746817025703,0.965875586706468,0.959471476326003,0.952588968600572,0.945282049779216,0.937603977609245,0.92960707713959,0.921342564171554,0.912860395898827,0.904209148049606,0.895435917652558,0.886586250394534,0.877704091419663,0.868831758335089,0.86000993513603
"44.1",0.826455306005047,0.843350046398843,0.860248896995251,0.876790582607357,0.89258795040221,0.907333525624324,0.920965597966797,0.933466290979048,0.944824017457884,0.955033342269532,0.964094796861165,0.972014650237401,0.97880464146119,0.984481678923255,0.98906751171447,0.992588378437313,0.995074638713244,0.996560392490862,0.99708309204398,0.996683151278737,0.995403556654112,0.993289483670264,0.990387922503193,0.986747315971123,0.982417212616018,0.977447937280329,0.971890281161122,0.965795212937324,0.959213612195907,0.952196026033793,0.94479244938757,0.937052129345338,0.929023393426148,0.920753501573708,0.912288521402836,0.90367322605971,0.894951013909584,0.886163849147657,0.877352222338854,0.868555129828885,0.859810070930612
"44.2",0.852013759770745,0.867475342523738,0.882894478729109,0.89793050400863,0.912221225191881,0.925482202415791,0.937661660146984,0.948748901965476,0.958738805865819,0.967631661165584,0.97543296783111,0.982153202447491,0.987807555215624,0.992415642439545,0.99600119897684,0.998591755069251,1.00021830185612,1.00091494970677,1.00071858329668,0.999668517103842,0.997806154722994,0.995174655094276,0.991818608425811,0.987783724263321,0.983116533830445,0.977864108436152,0.97207379542558,0.965792972841999,0.959068823674022,0.951948130286629,0.944477089379455,0.93670114758282,0.928664857592446,0.920411754558373,0.911984252282604,0.903423558643206,0.894769609549638,0.886061020644084,0.877335055895576,0.868627612186487,0.859973218963258
