"","Date","mutationG1","mutationG1_low","mutationG1_up","mutationG2","mutationG2_low","mutationG2_up"
"1",2021-12-11,0.115737498190452,0.0945364891924385,0.142293595671092,0.141651070343379,0.119069441363778,0.229270523840738
"2",2021-12-12,0.127434704246788,0.104180009999419,0.171757518796992,0.168372475117365,0.130474300880128,0.260905356501188
"3",2021-12-13,0.151565869715339,0.109210622603926,0.195191262366105,0.21345050632985,0.146651880773017,0.309320710824375
"4",2021-12-14,0.178257811668373,0.121919184110112,0.238474309075018,0.242125663474156,0.157476411562754,0.348672054709606
"5",2021-12-15,0.185998470458299,0.139159047397779,0.271789965986395,0.263470398551286,0.173995898515132,0.396487112891542
"6",2021-12-16,0.230812493379617,0.169478118522286,0.31233172026565,0.325622967032968,0.187281320621734,0.442548241684629
"7",2021-12-17,0.264888360834502,0.187143052981872,0.35142280214888,0.361284313765939,0.201214079310025,0.498620016912479
"8",2021-12-18,0.313507839940352,0.21737276324384,0.434319130323007,0.405566420548046,0.234107906428839,0.555982278421104
"9",2021-12-19,0.352928949357521,0.278684525936343,0.481605658610855,0.463644135562338,0.287303148351623,0.605613000506671
"10",2021-12-20,0.432897237829287,0.331221392376574,0.544990172778195,0.527870675671838,0.357997403166225,0.655360193886574
"11",2021-12-21,0.490003182800169,0.371961617100757,0.591162224849491,0.59434994479014,0.412450867837944,0.686837176326648
"12",2021-12-22,0.530792275625729,0.396734518414654,0.617830489333334,0.63697668642551,0.457536139455782,0.732425670108481
"13",2021-12-23,0.563434064948075,0.475199723352682,0.660473250707626,0.671278542761264,0.509138703558347,0.759154608390237
"14",2021-12-24,0.604178602010212,0.529204713975556,0.710030522886561,0.704013251202538,0.532923425780569,0.777046027516557
"15",2021-12-25,0.647956585737737,0.582887674045229,0.749609177163807,0.720831168632786,0.583956825251468,0.797660251623036
"16",2021-12-26,0.694876865878684,0.608664763609506,0.77351290266032,0.762211611475135,0.607766349060992,0.814617938760379
"17",2021-12-27,0.709249950447027,0.631348917020652,0.803269435349344,0.781510192323024,0.608123304137608,0.82361347522839
"18",2021-12-28,0.729924147912894,0.655868281221708,0.820490407002236,0.788451615241214,0.653039284624106,0.827395398452271
"19",2021-12-29,0.75215105551061,0.690536092497186,0.822397757791636,0.803587805442022,0.692740877012169,0.858744150104149
"20",2021-12-30,0.777722666586337,0.710009801031217,0.847690968514381,0.814809158913243,0.724989244586623,0.878731136888889
"21",2021-12-31,0.793766399894307,0.739392143885539,0.869909934368484,0.818403514850775,0.788918739770548,0.89005014431126
"22",2022-01-01,0.81244787132912,0.766777256905783,0.880035537310476,0.837591786071345,0.806735730869034,0.903621220368074
"23",2022-01-02,0.826869708350792,0.770171398269471,0.887290032519567,0.847857569462809,0.795729306035126,0.909577373795859
"24",2022-01-03,0.838158332957451,0.786112422645124,0.901895434161799,0.855359357939302,0.798300571244243,0.915356616055589
"25",2022-01-04,0.865954723682039,0.804033008352333,0.901634398631224,0.866051042953054,0.81757723512617,0.921267835968432
"26",2022-01-05,0.882465255057113,0.830618188840556,0.922599143733602,0.887777141555281,0.832321696288314,0.931692070874001
"27",2022-01-06,0.898837083672332,0.851159681727803,0.920365690201034,0.902656551042215,0.848725851714208,0.927638313028576
"28",2022-01-07,0.907139669632013,0.8707553037952,0.934209949377473,0.90734969880505,0.869880520535211,0.934268162231682
"29",2022-01-08,0.912092413426406,0.882153212728466,0.935607482493511,0.918091880260328,0.882037800101976,0.942621922925253
"30",2022-01-09,0.9136923730845,0.89060720692251,0.938897560446078,0.924980085434799,0.883852475803183,0.936371512330835
"31",2022-01-10,0.919133970098798,0.896927977752547,0.947723016255857,0.923625109310682,0.879323279316414,0.938552202932893
"32",2022-01-11,0.921732674768666,0.894662259035222,0.950848285701712,0.927477712536821,0.88402143588725,0.938907841933041
"33",2022-01-12,0.918434251996975,0.900339035777754,0.951926685737391,0.922723538139789,0.883167934465739,0.938513146692196
"34",2022-01-13,0.921874442719693,0.895497009381824,0.951784256263707,0.927845691954853,0.893903312786521,0.942000961414872
"35",2022-01-14,0.92030234425333,0.891603532897231,0.950276739314204,0.929514861073017,0.894889105827359,0.947823838321609
"36",2022-01-15,0.923351624406402,0.895311944392746,0.953849026873984,0.921593944320006,0.889679464949865,0.951690537810568
"37",2022-01-16,0.922587065388538,0.893562341873331,0.958517668451936,0.91702341281206,0.895766885127678,0.958593902550808
"38",2022-01-17,0.921829093254293,0.892952316505225,0.951363029192252,0.922551142829586,0.905839317623598,0.959527118165516
"39",2022-01-18,0.927738727330573,0.901349578090175,0.950509063081303,0.91886300090615,0.904100992732844,0.957732196821641
"40",2022-01-19,0.927824601385303,0.905125657035314,0.947065003617022,0.925466505303634,0.907341234605374,0.965070240759618
"41",2022-01-20,0.938725813513695,0.907254639377803,0.955945312497331,0.927732877954389,0.904863968253272,0.961238405260714
"42",2022-01-21,0.935028119818907,0.918083535022652,0.962004922998533,0.939905460541272,0.902262133830494,0.957467611464005
"43",2022-01-22,0.939039794395473,0.912736389170855,0.956037766130547,0.943372541456276,0.911927482188723,0.954397581216602
"44",2022-01-23,0.939044041994352,0.913077392992392,0.952347830225683,0.939158641521562,0.90572107995815,0.951394023725464
"45",2022-01-24,0.938931169842833,0.907126246177626,0.95581577553562,0.930418106121431,0.903770667579253,0.953265842430148
"46",2022-01-25,0.938112234344885,0.910338714986541,0.958963692825537,0.935612911316236,0.904254211366406,0.956776119780685
"47",2022-01-26,0.94667344431754,0.920866381197423,0.960540675063291,0.932547199916944,0.912295147038921,0.958237507182545
